Model,Paper_AUROC,Paper_AUPRC,OrigCode_AUROC,OrigCode_AUPRC,OurImpl_AUROC,OurImpl_AUPRC
GCN,0.749,0.645,0.8615999817848206,0.6422640085220337,0.9876,0.9194
GAT,0.762,0.66,0.9312000274658203,0.6652445793151855,0.9452,0.8507
GIN,0.778,0.677,0.9575999975204468,0.7022103071212769,0.9808,0.8655
MPNN,0.785,0.684,0.9684000015258789,0.7389255166053772,0.9836,0.877
CNN,0.741,0.639,0.967199981212616,0.7111828923225403,0.9764,0.8818
ResNet,0.756,0.654,0.35760000348091125,0.12852853536605835,0.9544,0.7994
LSTM,0.728,0.621,0.9815999865531921,0.8721931576728821,0.9868,0.9238
